	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
0	Histidine	156.0768	110.0710006953521	1.0	81	Histidine	10
1	Histidine	156.0768	156.0746898835626	0.23262304	81	Histidine	10
2	Histidine	156.0768	83.05996875320886	0.061390158	81	Histidine	10
3	Histidine	156.0768	95.05988957047039	0.021816337	81	Histidine	10
4	Histidine	156.0768	55.977959039624764	0.0035514967	81	Histidine	10
5	Histidine	156.0768	65.80914735463335	0.0035514967	81	Histidine	10
6	Phenylalanine	166.0863	120.08081387494899	1.0	53	Phenylalanine	10
7	Phenylalanine	166.0863	103.05462791928069	0.04043918	53	Phenylalanine	10
8	Phenylalanine	166.0863	166.0872413089832	0.03809024	53	Phenylalanine	10
9	Phenylalanine	166.0863	131.04929158191007	0.028463133	53	Phenylalanine	10
10	Phenylalanine	166.0863	107.04942543538104	0.021202765	53	Phenylalanine	10
11	Phenylalanine	166.0863	149.05854676389276	0.0192898	53	Phenylalanine	10
12	Arginine	175.119	175.11799681220882	1.0	80	Arginine	10
13	Arginine	175.119	70.06534355766789	0.58356744	80	Arginine	10
14	Arginine	175.119	60.054864358904176	0.5049859	80	Arginine	10
15	Arginine	175.119	116.07011468982869	0.45730338	80	Arginine	10
16	Arginine	175.119	158.0909043776898	0.22970505	80	Arginine	10
17	Arginine	175.119	130.09722153247463	0.22106741	80	Arginine	10
18	Aspartic Acid	134.0448	74.0235571699932	1.0	76	Aspartic Acid	10
19	Aspartic Acid	134.0448	88.04005417826957	0.6544992	76	Aspartic Acid	10
20	Aspartic Acid	134.0448	70.02833097708104	0.4974533	76	Aspartic Acid	10
21	Aspartic Acid	134.0448	134.04472044442207	0.28692698	76	Aspartic Acid	10
22	Aspartic Acid	134.0448	64.92617023660577	0.17657046	76	Aspartic Acid	10
23	Aspartic Acid	134.0448	119.08714750900863	0.12733446	76	Aspartic Acid	10
24	Glutamic Acid	148.0604	84.0445191617443	1.0	71	Glutamic Acid	10
25	Glutamic Acid	148.0604	130.04834254894536	0.5317707	71	Glutamic Acid	10
26	Glutamic Acid	148.0604	102.05522229697853	0.36952838	71	Glutamic Acid	10
27	Glutamic Acid	148.0604	148.06117562169328	0.12595312	71	Glutamic Acid	10
28	Glutamic Acid	148.0604	56.04967970893862	0.040384073	71	Glutamic Acid	10
29	Glutamic Acid	148.0604	74.02475467910382	0.033041514	71	Glutamic Acid	10
30	Iso/Leucine	132.1019	86.09632097655668	1.0	54	Iso/Leucine	10
31	Iso/Leucine	132.1019	132.1019378712075	0.029325914	54	Iso/Leucine	10
32	Iso/Leucine	132.1019	69.06905411601113	0.0076383776	54	Iso/Leucine	10
33	Iso/Leucine	132.1019	104.05998762762512	0.00339635	54	Iso/Leucine	10
34	Iso/Leucine	132.1019	78.46636101468214	0.0021278337	54	Iso/Leucine	10
35	Iso/Leucine	132.1019	55.01692983195313	0.0019232343	54	Iso/Leucine	10
36	Lysine	147.1128	84.08041088610177	1.0	82	Lysine	10
37	Lysine	147.1128	130.08589082977	0.3714653	82	Lysine	10
38	Lysine	147.1128	147.11204488408643	0.07564645	82	Lysine	10
39	Lysine	147.1128	112.07759365958619	0.020943595	82	Lysine	10
40	Lysine	147.1128	74.02350518179341	0.018146075	82	Lysine	10
41	Lysine	147.1128	56.049753016947435	0.014554665	82	Lysine	10
42	Methionine	150.0583	56.04904453318877	1.0	58	Methionine	10
43	Methionine	150.0583	104.052119560705	0.8724061	58	Methionine	10
44	Methionine	150.0583	133.03136423451974	0.50143576	58	Methionine	10
45	Methionine	150.0583	61.01025579400296	0.3917213	58	Methionine	10
46	Methionine	150.0583	150.05771621478425	0.15452132	58	Methionine	10
47	Methionine	150.0583	87.02535541579604	0.10191255	58	Methionine	10
48	Proline	116.0706	70.06472299190361	1.0	62	Proline	10
49	Proline	116.0706	116.07017234946598	0.32022026	62	Proline	10
50	Proline	116.0706	101.86127511915089	0.0021518208	62	Proline	10
51	Proline	116.0706	104.1740517407674	0.0012813114	62	Proline	10
52	Proline	116.0706	54.44991980271128	0.00073357526	62	Proline	10
53	Proline	116.0706	68.05179748261844	0.0006064222	62	Proline	10
54	Serine	106.0499	60.04411670768509	1.0	71	Serine	10
55	Serine	106.0499	88.03922928910224	0.08223647	71	Serine	10
56	Serine	106.0499	106.04933652177492	0.07514906	71	Serine	10
57	Serine	106.0499	70.02955475901341	0.04949938	71	Serine	10
58	Serine	106.0499	63.31027583929997	0.0014624817	71	Serine	10
59	Serine	106.0499	68.01842773629598	0.001124986	71	Serine	10
60	Threonine	120.0655	74.05950244577477	1.0	70	Threonine	10
61	Threonine	120.0655	56.04891014529815	0.67405134	70	Threonine	10
62	Threonine	120.0655	102.05426906848406	0.17326547	70	Threonine	10
63	Threonine	120.0655	84.04434215300076	0.11556021	70	Threonine	10
64	Threonine	120.0655	120.06765439570415	0.04408353	70	Threonine	10
65	Threonine	120.0655	58.06488761423214	0.030237257	70	Threonine	10
66	Tyrosine	182.0812	136.07498961881478	1.0	60	Tyrosine	10
67	Tyrosine	182.0812	165.05453855737338	0.61202675	60	Tyrosine	10
68	Tyrosine	182.0812	147.04382779673102	0.27859354	60	Tyrosine	10
69	Tyrosine	182.0812	123.0440305248471	0.27429828	60	Tyrosine	10
70	Tyrosine	182.0812	119.04872850399855	0.17700529	60	Tyrosine	10
71	Tyrosine	182.0812	91.05452947571447	0.14833683	60	Tyrosine	10
72	Valine	118.0863	118.08626623175626	1.0	60	Valine	10
73	Valine	118.0863	59.07219987598784	0.069554605	60	Valine	10
74	Valine	118.0863	72.07973533730735	0.050030507	60	Valine	10
